ProductID,CategoryID,Price,days_to_expiry,discount
12365,sprinolactone,17.88,-195,100
17863,amoxicillin,15.99,170,0
23123,glipizide,10.55,-592,100
23127,ibuprophen,4.32,-1018,100
23456,gabapentin,37.66,-926,100
23467,simvastatin,14.54,-775,100
23567,atorvastatin,12.55,-1018,100
34321,furosemide,4.33,-440,100
34532,isosorbide,14.55,-806,100
34543,meloxicam,6.76,-653,100
34567,naproxen,5.67,-317,100
43234,gabapentin,40.33,-926,100
45652,ibuprophen,4.33,-1536,100
45687,zolpidem,90.76,139,0
45689,atenolol,14.9,-592,100
45698,sprinolactone,14.67,-195,100
56765,atorvastatin,13.45,474,0
65456,clopidogrel,10.43,-1566,100
67542,omeprazole,10.45,-1201,100
67545,atenolol,16.93,-957,100
67854,atenolol,15.98,-75,100
67876,losartan,7.89,-653,100
78965,losartan,6.78,-775,100
78977,acetaminophen,3.44,-561,100
78987,zolpidem,30.56,-226,100
